name,albumID,trackNumber,releaseDate,spotifyURL
911,120,8,2020-05-29,spotify:track:6qI0MU175Dk2DeoUjlrOpy
Total Eclipse of the Heart,121,1,2011-09-16,spotify:track:3Pas9u4vk4hKEIa5OtKRFF
Don't Pay The Ferryman,122,1,1982-01-01,spotify:track:7L4NzRGuukFbw4pRylIjlN
Ain't No Mountain High Enough,123,1,1967-08-29,spotify:track:1LeWIs2hP2r5yOQnVuYoI5
It's Too Late,6595,2,2004-09-24,spotify:track:6XZpVCFrDf2XMtyaX1Wst0
You Don't Have to Say You Love Me,125,8,2007,spotify:track:2DUbzMIzQz7k28KKF2fpgo
Inside Out (feat. Griff),126,1,2020-10-23,spotify:track:6IiCb4PCrDgqLuDWgHhFi7
Fingertips - Original Studio Version,127,1,1962-09-01,spotify:track:0Oc2t0ffBfnFKthTFB87zZ
Another Man (feat. Megan Joy) (feat. Megan Joy),128,1,2014-08-01,spotify:track:4Q0aYLHFOadFypiCpv4Rb7
I Go To Rio,129,17,1993-01-01,spotify:track:4vHMbItY3W8VfxFuH2kQn6
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",130,9,1990-10-01,spotify:track:79hJaqmVdohltPBNN6BULM
The Box,131,2,2019-12-06,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
Mercy,3267,2,2016-09-23,spotify:track:3OalxlWH0v14kyBcNBMINt
Only Wanna Be With You,133,4,1994-07-01,spotify:track:1OFKUn2VLafrHj7ybnap0Q
Angels Cry Remix - Remix,134,1,2010-01-01,spotify:track:0TJRfA2MIIRd3tTDK9tPPf
Tell Him - Single Version,135,1,2012-01-01,spotify:track:7rGOWzo4evAQQ2FzrSKp0B
Love The Way You Lie,5975,15,2010-06-18,spotify:track:6UaRii9AH6Zss9xNMEQ2M9
Gonna See My Baby Tonight,137,1,1975-01-01,spotify:track:1RxSnx3hSCwX2DcG9tvpbD
Broken (feat. Amy Lee),138,4,2013-09-29,spotify:track:7xx8JqaauSj5Ay8Efnm0hr
Higher,139,3,2016-02-19,spotify:track:1tOT50hl9UG9kGif08Fan5
Somebody That I Used To Know,5852,3,2011-01-01,spotify:track:1qk9ujVgudgU8CyhKOx8ji
Ain't Telling The Truth,141,5,2009-01-01,spotify:track:3APXBFJM1OTXvbsx10TgG3
The Only Exception,142,6,2009-09-22,spotify:track:3ZHfX6kbiY7JVsB63lLOLu
Cats In The Cradle,143,6,2007-01-01,spotify:track:2dC0Rl8OfpULkMvagGUwPi
Higher Power,144,1,2021-05-07,spotify:track:0939D7aT18uBDS2MTjWzct
Sister Christian,145,10,1997-01-01,spotify:track:6LoSKNsYkRQbyuiReooMjG
Everything About You,146,11,1992-01-01,spotify:track:0l37J5l4eJfIdd7cea1Cl5
Like Sister and Brother,147,4,2004-09-25,spotify:track:6wmazwwzaTNFnKcyQFZsuq
Go Your Own Way,148,5,1977-02-04,spotify:track:0FeCO85RKW8fDRytwXof2x
Jump,149,6,2012-12-10,spotify:track:4O3HRDIBChh0quFPhfDXd1
Wolves,5124,1,2017-10-25,spotify:track:7EmGUiUaOSGDnUUQUDrOXC
Turn Up The Love,151,4,2012-01-01,spotify:track:4HQ9gXAtONKs8NCM0MFUTu
Soul Revival,152,93,2010-06-25,spotify:track:6q92eTIDGRb2gMc9qYSxrn
Perfect,153,5,2017-03-03,spotify:track:0tgVpDi06FyKpA1z0VMD4v
Oh Sherrie,154,1,1998-12-01,spotify:track:3wqoAzrr5htxSZ7KzxhLHg
Get Down (You're the One for Me) - LP Edit No Rap,6467,3,1996-05-06,spotify:track:6KPMiBhU6O9RBImTQXQNCe
Down (feat. Gucci Mane),156,1,2017-10-29,spotify:track:0XQHz5C8PknyrEhyrKxVKa
Rock You Like A Hurricane,157,2,1984-05-04,spotify:track:0XIvZ82aDF7JiSi3ZE320u
Sugar Shack,158,1,2014-03-10,spotify:track:2QZvMncP3hoLfHJXq4218n
Wake Me up When September Ends,159,7,2004-09-21,spotify:track:3ZffCQKLFLUvYM59XKLbVm
I Won't Back Down,495,10,2000-10-31,spotify:track:1gaebx506AU20bCJKEQUy9
Know Your Enemy,161,3,2009-05-15,spotify:track:5qtwzv99vOr5UTwnTixn7j
All I Need Is A Miracle,162,2,1985-10-05,spotify:track:0iVXKGnD23wIulXZRit20N
I Can Help,163,1,1998-01-18,spotify:track:4oW1lGOw5Q5OLvoJv92qoE
Am I Ever Gonna See Your Face Again - Live,1235,15,1988-01-01,spotify:track:4TTxKh1FnnGEeGWK2s8xBa
I Like it Like That - 2019 - Remaster,165,1,1965-09-06,spotify:track:06C1afLEMNO4hii8mbX6sq
Drive By,166,2,2012-04-17,spotify:track:0KAiuUOrLTIkzkpfpn9jb9
This Is Who I Am,167,1,2009-01-01,spotify:track:7ikgdP2UytKecFM0AXSHxy
A Hard Day's Night - Remastered 2009,5484,1,1964-07-10,spotify:track:5J2CHimS7dWYMImCHkEFaJ
Ghost,169,1,2014-06-08,spotify:track:2FiceoWDJ67rrmb5tGBpgE
Get That Jive - 2006 Remaster,170,7,2007-04-07,spotify:track:0hfVBwMwUL5rVXaczWERTm
Justified & Ancient - Stand by the Jams,171,3,1992-08-03,spotify:track:1XAZlnVtthcDZt2NI1Dtxo
Only You Can Love Me This Way,172,1,2009-01-01,spotify:track:4F7whFNLTeLFUU73o8yO5u
When a Man Loves a Woman,173,1,1966,spotify:track:51FpzuGkRYXFgsE2zXt9av
The Message,174,2,1982-01-01,spotify:track:1J2tfINpEHRhCP8CUS15lE
Hold Me Closer,175,1,2022-08-26,spotify:track:72yP0DUlWPyH8P7IoxskwN
Goodbye,176,7,2006,spotify:track:6ZUHky4ifmhzZmdt1Z2f3x
Music To My Heart,177,1,2021-07-23,spotify:track:5a3L9h9YfI96BMs4QaKJ67
Last Night,178,2,2023-03-03,spotify:track:7K3BhSpAxZBznislvUMVtn
Hold Me Now,179,1,2011-09-16,spotify:track:5Ee3eEEutXbUsMYGD2rbTT
Be-Bop-A-Lula,180,26,1996-01-01,spotify:track:0TMrV95mP7sDlvbE4iVfKP
The Dead Heart,5820,6,1987-06-22,spotify:track:2O2n8eF4e7qfeUGcFwWQFp
The Living Years,182,2,1988-10-28,spotify:track:4YBIuDWPsVy9pXLCUBORZN
Ciao Adios,183,1,2017-02-10,spotify:track:3EfugazgSddQvzZpkof5I4
Kiss Me More (feat. SZA),5265,1,2021-04-09,spotify:track:748mdHapucXQri7IAO8yFK
Señorita,185,1,2019-06-19,spotify:track:6v3KW9xbzN5yKLt9YKDYA2
Get Down Tonight,186,3,1994-12-13,spotify:track:4msPRe3NEDVL6dsBcE7AhL
Are You Lonesome Tonight,187,7,1963-08-11,spotify:track:6vXZs9rEQF7Nd6O8Ue7NrT
Friday I'm In Love,7295,14,2001-01-01,spotify:track:0lxt6J01WBpovNFVF87Yqa
Give It 2 Me,189,3,2008-04-19,spotify:track:59qPP8coY8EWIQ9nQDThui
Señorita,190,1,2019-06-21,spotify:track:0TK2YIli7K1leLovkQiNik
Feelin' Alright,191,1,1993-01-01,spotify:track:3LLeJjCRRkTLmkQIUJuHCT
Do You Want To,192,2,2005-10-03,spotify:track:09TpJe9jnom4mB2DDhZKkB
Can't Get Enough of Your Love,193,4,1995-11-06,spotify:track:4tmzLB4caxMSZDgWujR7sH
"It Ain't Me, Babe (with June Carter Cash)",194,1,2002-02-12,spotify:track:7hJBjMGJHHQ4cR4Jhzp1d1
Remember The Name (feat. Eminem & 50 Cent),4308,8,2019-07-12,spotify:track:663iGCIjbc3DfpGOooKvDR
(I Can't Get No) Satisfaction - Mono Version,196,7,1965-07-30,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
Million Man,197,1,2017-10-27,spotify:track:2sqV4WwUD6Rydqciys8jtn
Woke Up Late (feat. Hailee Steinfeld),198,1,2019-01-21,spotify:track:4p4dnZ9OYGueoEEgSVxuSp
Better in Time,4130,4,2008-01-28,spotify:track:4ULXog8YFsG5RFPwr1ukAT
Fortune Teller - Mono,200,5,1966-01-01,spotify:track:3uHHFUxskdOEs5P5xPdmcz
One of These Nights - 2013 Remaster,201,1,1975-06-10,spotify:track:608xszaAxVh4m7NcKJiAbF
Don't Worry,202,12,1996-03-12,spotify:track:0dPfKBYyPmoSfoLJqeKAs4
Take My Breath - Single Version,203,1,2021-08-06,spotify:track:6OGogr19zPTM4BALXuMQpF
Sing Hallelujah!,204,4,1992-05-04,spotify:track:1ohbjkuczl6hEoYEo931PH
That's Not My Name,7317,2,2008-07-29,spotify:track:2DNdEpV9UnsYjL6w1Dp1aS
Someone,206,3,2016-03-04,spotify:track:70on8632PmtkPhed7jLKWN
One Too Many,207,1,2020-09-16,spotify:track:5NUXE8W12lWcUXgJRCjeEw
Special Needs,208,8,2003-03-24,spotify:track:2h0HkReHGCQPOEDZXEMcTO
Oh Boy!,209,9,2006-04-18,spotify:track:2bfsHVgRsnSANN3SJ4sPt2
Black Velvet,210,3,1989-03-14,spotify:track:1KU5EHSz04JhGg3rReGJ0N
Would You Raise Your Hands?,211,2,2003,spotify:track:7aWLRQCKhQ18syTAXtLKn6
The Forgotten,212,7,2014-02-07,spotify:track:4nHpy4mMRGXsD5RrhXwoko
Because the Night,213,3,1978,spotify:track:0lIoY4ZQsdn5QzhraM9o9u
It's The End Of The World As We Know It (And I Feel Fine),214,6,1987-09-01,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku
All By Myself,215,4,1975-01-01,spotify:track:0AQqrtK1pULuwZUXhwaaDz
Home Entertainment System,216,2,2005-07-12,spotify:track:5LEQdlGJ44WnhaxnDg8GHf
Friday On My Mind,217,6,1987,spotify:track:5TpNKy3cNoLnMNEyP2L0Ox
Warrior,218,1,2013-01-01,spotify:track:53KmqHPNbgziMAKoHzeSeo
How You Remind Me,219,2,2001-09-11,spotify:track:0gmbgwZ8iqyMPmXefof8Yf
Silence,220,1,2017-08-11,spotify:track:7vGuf3Y35N4wmASOKLUVVU
Man Overboard,221,6,1985-08-01,spotify:track:2wtqBurDM5kxuH6WhxwIJr
Kiss Me,222,6,2012-11-16,spotify:track:2McbI8WrvqqK6Ew5VgllX3
All I Ask,223,1,2015-12-06,spotify:track:3kg05HyeoiSfxuEoyQa0xk
Higher,224,1,2015-02-23,spotify:track:0QC6QMN85EQZzfJ39HNO5h
"Today's The Day - From ""The Ellen DeGeneres Show""",225,1,2015-09-10,spotify:track:00iCRJ7pk3onHablkLyVH1
