songID,name,albumID,trackNumber,releaseDate,spotifyURL
134,Only Wanna Be With You,132,4,1994-07-01,spotify:track:1OFKUn2VLafrHj7ybnap0Q
135,Angels Cry Remix - Remix,133,1,2010-01-01,spotify:track:0TJRfA2MIIRd3tTDK9tPPf
136,Tell Him - Single Version,134,1,2012-01-01,spotify:track:7rGOWzo4evAQQ2FzrSKp0B
137,Love The Way You Lie,5974,15,2010-06-18,spotify:track:6UaRii9AH6Zss9xNMEQ2M9
138,Gonna See My Baby Tonight,136,1,1975-01-01,spotify:track:1RxSnx3hSCwX2DcG9tvpbD
139,Broken (feat. Amy Lee),137,4,2013-09-29,spotify:track:7xx8JqaauSj5Ay8Efnm0hr
140,Higher,138,3,2016-02-19,spotify:track:1tOT50hl9UG9kGif08Fan5
141,Somebody That I Used To Know,5851,3,2011-01-01,spotify:track:1qk9ujVgudgU8CyhKOx8ji
142,Ain't Telling The Truth,140,5,2009-01-01,spotify:track:3APXBFJM1OTXvbsx10TgG3
143,The Only Exception,141,6,2009-09-22,spotify:track:3ZHfX6kbiY7JVsB63lLOLu
144,Cats In The Cradle,142,6,2007-01-01,spotify:track:2dC0Rl8OfpULkMvagGUwPi
145,Higher Power,143,1,2021-05-07,spotify:track:0939D7aT18uBDS2MTjWzct
146,Sister Christian,144,10,1997-01-01,spotify:track:6LoSKNsYkRQbyuiReooMjG
147,Everything About You,145,11,1992-01-01,spotify:track:0l37J5l4eJfIdd7cea1Cl5
148,Like Sister and Brother,146,4,2004-09-25,spotify:track:6wmazwwzaTNFnKcyQFZsuq
149,Go Your Own Way,147,5,1977-02-04,spotify:track:0FeCO85RKW8fDRytwXof2x
150,Jump,148,6,2012-12-10,spotify:track:4O3HRDIBChh0quFPhfDXd1
151,Wolves,5123,1,2017-10-25,spotify:track:7EmGUiUaOSGDnUUQUDrOXC
152,Turn Up The Love,150,4,2012-01-01,spotify:track:4HQ9gXAtONKs8NCM0MFUTu
153,Soul Revival,151,93,2010-06-25,spotify:track:6q92eTIDGRb2gMc9qYSxrn
154,Perfect,152,5,2017-03-03,spotify:track:0tgVpDi06FyKpA1z0VMD4v
155,Oh Sherrie,153,1,1998-12-01,spotify:track:3wqoAzrr5htxSZ7KzxhLHg
156,Get Down (You're the One for Me) - LP Edit No Rap,6466,3,1996-05-06,spotify:track:6KPMiBhU6O9RBImTQXQNCe
157,Down (feat. Gucci Mane),155,1,2017-10-29,spotify:track:0XQHz5C8PknyrEhyrKxVKa
158,Rock You Like A Hurricane,156,2,1984-05-04,spotify:track:0XIvZ82aDF7JiSi3ZE320u
159,Sugar Shack,157,1,2014-03-10,spotify:track:2QZvMncP3hoLfHJXq4218n
160,Wake Me up When September Ends,158,7,2004-09-21,spotify:track:3ZffCQKLFLUvYM59XKLbVm
161,I Won't Back Down,494,10,2000-10-31,spotify:track:1gaebx506AU20bCJKEQUy9
162,Know Your Enemy,160,3,2009-05-15,spotify:track:5qtwzv99vOr5UTwnTixn7j
163,All I Need Is A Miracle,161,2,1985-10-05,spotify:track:0iVXKGnD23wIulXZRit20N
164,I Can Help,162,1,1998-01-18,spotify:track:4oW1lGOw5Q5OLvoJv92qoE
165,Am I Ever Gonna See Your Face Again - Live,1234,15,1988-01-01,spotify:track:4TTxKh1FnnGEeGWK2s8xBa
166,I Like it Like That - 2019 - Remaster,164,1,1965-09-06,spotify:track:06C1afLEMNO4hii8mbX6sq
167,Drive By,165,2,2012-04-17,spotify:track:0KAiuUOrLTIkzkpfpn9jb9
168,This Is Who I Am,166,1,2009-01-01,spotify:track:7ikgdP2UytKecFM0AXSHxy
169,A Hard Day's Night - Remastered 2009,5483,1,1964-07-10,spotify:track:5J2CHimS7dWYMImCHkEFaJ
170,Ghost,168,1,2014-06-08,spotify:track:2FiceoWDJ67rrmb5tGBpgE
171,Get That Jive - 2006 Remaster,169,7,2007-04-07,spotify:track:0hfVBwMwUL5rVXaczWERTm
172,Justified & Ancient - Stand by the Jams,170,3,1992-08-03,spotify:track:1XAZlnVtthcDZt2NI1Dtxo
173,Only You Can Love Me This Way,171,1,2009-01-01,spotify:track:4F7whFNLTeLFUU73o8yO5u
174,When a Man Loves a Woman,172,1,1966-01-01,spotify:track:51FpzuGkRYXFgsE2zXt9av
175,The Message,173,2,1982-01-01,spotify:track:1J2tfINpEHRhCP8CUS15lE
176,Hold Me Closer,174,1,2022-08-26,spotify:track:72yP0DUlWPyH8P7IoxskwN
